eng_Latn,ben_Beng
"Sushant's brother-in-law had also launched an app named Nepometer to track nepotism in Bollywood.
","সুশান্তের শ্যালক ভাই বলিউডে নেপোমিটিবাদ ট্র্যাক করতে নেপোমিটার নামে একটি অ্যাপও চালু করেছিলেন।
"
"Taken to the Richmond home of his brother-in-law, Dr. Charles Brewer, Stuart received a visit from President Jefferson Davis before slipping into a delirium and dying the next day.
","তার ভাইকে রিচার্ড হোমে নিয়ে যাওয়া, ডাঃ চার্লস ব্রেউভার, স্টুয়ার্ট রাষ্ট্রপতি জেফারসন ডেভিসের এক ভ্রমণে স্নাতক হলেন এবং পরের দিন মারা যান।
"
"That's when her brother told her what he's really felt about his brother-in-law all these years.
","এই তখনই যখন তার ভাই তাকে জানালেন যে তিনি এত বছর ধরে তার শ্যালক সম্পর্কে সত্যই অনুভূত।
"
"The Turkish president, Recep Tayyip Erdoğan, says Turkey has captured the wife, sister and brother-in-law of Abu Bakr al-Baghdadi.
","তুরস্কের প্রেসিডেন্ট রজব তাইয়্যেব এরদোগান বলেছেন, তারা জঙ্গি গোষ্ঠী আইএস বা দায়েশের সাবেক প্রধান আবু বকর আল-বাগদাদির স্ত্রী, বোন এবং বোনের স্বামীকে আটক করেছেন।
"
"The brother-in-law push me.
","মৃন্ময় ভাইয়া আমাকে ধাক্কাচ্ছেন।
"
"The matter came to light after paralegal volunteer Ramanik Walia went to the court, explaining that the brother-in-law of Nirmal Singh had chained him up for seven years.
","বিষয়টি প্যারালেগাল স্বেচ্ছাসেবক রমনিক ওয়ালিয়া আদালতে যাওয়ার পরে আলোচনায় এসেছিল, যে ব্যাখ্যা দিয়েছিল যে নির্মল সিংয়ের ভগ্নিপতি তাকে সাত বছরের জন্য বেঁধে রেখেছিল।
"
"The most high-profile event occurred in 1979, when Juhayman Al-Otaibi and his brother-in-law Mohammed Al-Qahtani, who claimed to be the Mahdi, took hundreds of pilgrims hostage at the Grand Mosque, causing a week-long siege.
","সর্বাধিক হাই-প্রোফাইল ঘটনাটি ঘটেছিল ১৯৭৯ সালে, যখন জুহায়মান আল-ওতাইবি ও তাঁর ভগ্নিপতি মোহাম্মদ আল-কাহতানি, যিনি মাহদী হিসাবে দাবী করেছিলেন, কয়েকশ হাজী গ্র্যান্ড মসজিদে জিম্মি করে নিয়ে যায়, যার ফলে এক সপ্তাহব্যাপী অবরোধের সৃষ্টি হয়েছিল_
"
"The movie marks the first time Salman Khan will be sharing screen space with his brother-in-law Aayush Sharma, who is married to Arpita Khan.
","এই ছবিতে প্রথমবার Salman Khan-এর সঙ্গে স্ক্রিন শেয়ার করতে দেখা যাবে তাঁর ভগ্নিপতি Aayush Sharma-কে।
"
"The movie will also feature his brother-in-law Aayush Sharma.
","এই ছবিতে ভাইজানের পাশাপাশি দেখা যাবে তাঁর ভগ্নিপতি Aayush Sharma-কে।
"
"The news of Sridevi's demise was announced by her brother-in-law Sanjay Kapoor.
","শ্রীদেবীর মৃত্যুর সংবাদটি গণমাধ্যমকে জানিয়েছেন তার স্বামীর ছোট ভাই সঞ্জয় কাপুর।
"
"Their after he plays a big prank on his wife's brother-in-law, Raghavendra Sharma (Om Prakash).
","সে তার স্ত্রীর শ্যালক রাঘবেন্দ্র শর্মা (ওম প্রকাশ) এর উপর একটি বড় প্রঙ্ক খেলে তার পরে।
"
"This film also features his brother-in-law, Aayush Sharma.
","এই ছবিতে ভাইজানের পাশাপাশি দেখা যাবে তাঁর ভগ্নিপতি Aayush Sharma-কে।
"
"This was the biggest Jaish training camp in Pakistan and was led by Yusuf Azhar, the brother-in-law of Masood Azhar.
","পাকিস্তানে এটি জইশের বৃহত্তম শিবির এবং জইশ প্রধান মাসুদ আজহারের শ্যালক ইউসুফ আজহার এটি পরিচালনা করতেন বলে খবর।
"
"Today I went to the hospital to visit my brother-in-law.
","আজ হাসপাতালে গিয়েছিলাম আমার খালাতো ভাইকে ডাক্তার দেখাতে।
"
"Tunisian deposed President Ben Ali's brother-in-law sentenced to 10 years in jail
","তিউনিসিয়ার নির্বাসিত প্রেসিডেন্ট বেন আলীর ১০ বছরের জেল
"
"Turkish President Recep Tayyip Erdogan said Wednesday that the Turkish security forces have detained the wife of the recently killed Daesh leader Abu Bakr al-Baghdadi, his sister and brother-in-law.
","তুরস্কের প্রেসিডেন্ট রজব তাইয়্যেব এরদোগান বলেছেন, তারা জঙ্গি গোষ্ঠী আইএস বা দায়েশের সাবেক প্রধান আবু বকর আল-বাগদাদির স্ত্রী, বোন এবং বোনের স্বামীকে আটক করেছেন।
"
"Turkish President Recep Tayyip Erdogan says his forces have captured ISIS chief Abu Bakr al-Baghdadi's wife, sister and brother-in-law in Syria.
","তুরস্কের প্রেসিডেন্ট রজব তাইয়্যেব এরদোগান বলেছেন, তারা জঙ্গি গোষ্ঠী আইএস বা দায়েশের সাবেক প্রধান আবু বকর আল-বাগদাদির স্ত্রী, বোন এবং বোনের স্বামীকে আটক করেছেন।
"
"Turkish President Recep Tayyip Erdogan says his forces have captured one of ISIS chief Abu Bakr al-Baghdadi's wives, along with his sister and brother-in-law, in Syria.
","তুরস্কের প্রেসিডেন্ট রজব তাইয়্যেব এরদোগান বলেছেন, তারা জঙ্গি গোষ্ঠী আইএস বা দায়েশের সাবেক প্রধান আবু বকর আল-বাগদাদির স্ত্রী, বোন এবং বোনের স্বামীকে আটক করেছেন।
"
"Waters commissioned his brother-in-law, Willie Christie, to take photographs for the album cover.
","↑ ওয়াটার্স অ্যালবাম প্রচ্ছদের আলোকচিত্র গ্রহণের জন্য তার শ্বশুর উইলি ক্রিস্টিকে অনুমোদন করেছিলেন।
"
"We get to know that Enishi is Kenshin's brother-in-law, and he wants to take revenge on Kenshin for killing his sister fifteen years ago.
","আমরা জানতে পেরেছিলাম যে ishনিশি কেনশিনের শ্যালক এবং তিনি পঞ্চাশ বছর আগে বোনকে হত্যা করার জন্য কেনশিনের প্রতিশোধ নিতে চেয়েছিলেন বা।
"
"What is your brother-in-law's name, then can I call him?
","তোমার শ্যালকের নাম কী, তাহলে আমি কি তাকে ডাকতে পারি?
"
"What relationship to you is your father's only brother's wife's only brother-in-law?
","আপনার চাচার একমাত্র বড় ভাইয়ের মেয়ের ছোট ভাই আপনার সস্পর্কে কি হয় ?
"
"Wife along with brother-in-law murdered husband, police arrested
","স্বামীর পরকীয়ায় বাঁধা, খুন স্ত্রী, গ্রেফতার স্বামী সহ শ্বশুর- শাশুড়ি
"
"Would your sister's husband be your brother-in-law?
","তোমার বোন কি স্বামী শ্বশুরবাড়ির সম্পত্তি হয়ে উঠবে?
"
"You were my brother-in-law.
","তুমি যে ছিলে, আমার নয়নের মণি।
"
"Your brother-in-law and your sister have both deserted your religion.'
","তোমার বোন ও ভগ্নিপতিও তোমাদের ধর্ম পরিত্যাগ করে বেদ্বীন হয়ে গিয়েছে।
"
"and his brother-in-law,
","আর তার ভাইয়েরা,
"
"he's my brother-in-law.
","উনি আমার ব্রাদার-ইন-ল।
"
"japanese wife secretly shares her breast milk with brother-in-law.
","জাপানি স্ত্রী secretly শেয়ার তার breast দুধ সঙ্গে ভাই মধ্যে law
"
"japanese wife secretly shares her breastmilk with brother-in-law.
","জাপানি স্ত্রী secretly শেয়ার তার breast দুধ সঙ্গে ভাই মধ্যে law
"
"Actor Vivek Oberoi’s brother-in-law Aditya Alva has been arrested in connection with the Sandalwood drug case.
","মাদক যোগে এ বার গ্রেফতার বলিউড অভিনেতা বিবেক ওবেরয়ের শ্যালক আদিত্য আলভা।
"
"Shehbaz Sharif, the deceased's brother-in-law and president of the Pakistan Muslim League-Nawaz (PML-N), along with Kulsoom's daughter Asma, grandson Zayd Hussain Sharif (Hussain Nawaz's son), and 11 other family members had accompanied the body from London to Lahore.
","নওয়াজ শরিফের ভাই এবং পাকিস্তান মুসলিম লীগ-নওয়াজ'র (পিএমএল-এন) প্রেসিডেন্ট শেহবাজ শরিফ, তার মেয়ে আসমা, নাতি জায়েদ হুসাইন শরিফ এবং তার পরিবারের ১১ সদস্য ওই বিমানে করে লাহোরে পৌঁছান।
"
"The deceased include Bangamata Begum Fazilatunnesa Mujib, sons Sheikh Kamal, Sheikh Jamal and Sheikh Russell, daughters-in-law Sultana Kamal and Rosy Jamal, Bangabandhu’s brother Sheikh Naser, brother-in-law Abdur Rab Serniabat, nephew and eminent journalist Sheikh Fazlul Huq Moni, his pregnant wife Arzoo Moni and then military secretary Colonel Jamil.
","আরও হত্যা করা হয় বঙ্গমাতা শেখ ফজিলাতুন্নেসা মুজিব, শেখ কামাল, শেখ জামাল, শিশু শেখ রাসেল, শেখ কামালের স্ত্রী সুলতানা কামাল, শেখ জামালের স্ত্রী রোজী জামাল, বঙ্গবন্ধুর ভাই শেখ আবু নাসের, শেখ ফজলুল হক মনি, তার অন্তসত্বা স্ত্রী আরজু মনি, বঙ্গবন্ধুর ভগ্নিপতি আব্দুর রব সেরনিয়াবাত, তার পুত্র আরিফ সেরনিয়াবাত, নাতি, সুকান্ত আবদুল্লাহ, আব্দুর রব সেরনিয়াবাতের বড় ভাইয়ের ছেলে সজীব সেরনিয়াবাত।
"
"Five of the deceased are Halim Akond, a Saudi expatriate, his wife Asma Khatun, their two sons — Sujon and Shihab and Halim’s brother-in-law Babul Hawladar, of Sharankhola upazila in Bagerhat.
","নিহতরা হলেন সৌদিপ্রবাসী হালিম আকন, তাঁর স্ত্রী আসমা বানু, তাদের ছেলে শিহাব ও সুজন, হালিমের শ্যালক বাদল হাওলাদার এবং মাইক্রোবাসচালক (অজ্ঞাত)।
"
"Arbaaz Khan posted a pic of his with brothers Salman and Arbaaz, Sonakshi Sinha, sister Alvira and brother-in-law Atul Agnihotri as they celebrated Alvira's birthday.
","সালমান খানের বোন অর্পিতা খান শর্মা একটি সুন্দর কোলাজ পোস্ট করেছেন, যেখানে সালমান খান, হেলেন খান, তার শাশুড়ি সুনিতা শর্মা এবং বোন আলভিরা খানের ছবি ছিল।
"
"His mother, sister and brother-in-law were present at that time.
","এ সময় তাঁর মা, বাবা ও এক বোন উপস্থিত ছিলেন।
"
"Bollywood superstar Salman Khan’s brother-in-law Aayush Sharma had his debut in Bollywood with ‘Loveyatri’ that also starred Warina Hussain.
","‘লাভরাত্রি’ ছবি দিয়ে বলিউডে অভিষেক হয়েছে সুপারস্টার সালমান খানের ভগ্নীপতি আয়ুশ শর্মার।
"
"He is the brother-in-law of bollywood actor Vivek Oberoi.
","তিনি বলিউড অভিনেতা বিবেক ওবেরয়ের ভাই।
"
"The film features Salman's brother-in-law Aayush Sharma and Warina Hussain in the lead role.
","ছবিটিতে সালমানের ভগ্নিপতি আয়ুশ শর্মা ও অভিনেত্রী ওয়ারিনা হুসেইন অভিনয় করেছেন।
"
"Salman Khan recently attended the birthday party of his brother-in-law actor Aayush Sharma.
","সম্প্রতি ভাই আরবাজ খানের জন্মদিন উদযাপন অনুষ্ঠানে উপস্থিত হয়েছিলের সালমান।
"
"Woman allegedly raped for dowry, husband and brother-in-law arrested
","যৌতুকের দাবিতে গৃহবধূকে হত্যার অভিযোগ, স্বামী ও শাশুড়ি গ্রেপ্তার
"
"The girl later told police that her brother-in-law raped her, they said.
","মহিলা পরে পুলিশকে জানান, বয়ফ্রেন্ড ধোঁকা দেওয়ায় তাঁকে খুন করেন তিনি।
"
"Her entire family of parents, sister, brother-in-law and nephew and niece were with her.
","তার স্ত্রী, মা, ভাই এবং কাজের লোক নিয়ে তার গোটা পরিবার।
"
"The film has him sharing screen space with his brother-in-law Aayush Sharma for the first time.
","এই ছবিতে প্রথমবার ভাগ্নিপতি আয়ুষ শর্মার সঙ্গে স্ক্রিন শেয়ার করছেন সলমন।
"
"The deceased include Bangamata Begum Fazilatunnesa Mujib, sons Sheikh Kamal, Sheikh Jamal and Sheikh Russell, daughters-in-law Sultana Kamal and Rosy Jamal, Bangabandhu’s brother Sheikh Naser, brother-in-law Abdur Rab Serniabat, nephew and eminent journalist Sheikh Fazlul Huq Moni, his pregnant wife Arzoo Moni and then military secretary Colonel Jamil.
","এই নৃশংস হামলার ঘটনায় আরও যারা প্রাণ হারিয়েছিলেন তারা হলেন : বঙ্গবন্ধুর সহধর্মিণী বঙ্গমাতা বেগম ফজিলাতুন্নেছা মুজিব, পুত্র শেখ কামাল, শেখ জামাল, শেখ রাসেল, পুত্রবধূ সুলতানা কামাল, রোজী জামাল, ভাই শেখ নাসের ও কর্নেল জামিল, বঙ্গবন্ধুর ভাগ্নে মুক্তিযোদ্ধা শেখ ফজলুল হক মনি, তার অন্তঃসত্ত্বা স্ত্রী আরজু মনি, ভগ্নিপতি আবদুর রব সেরনিয়াবাত, শহীদ সেরনিয়াবাত, শিশু বাবু, আরিফ রিন্টু খানসহ অনেকে।
"
"Umma’s brother-in-law Abbas Ali filed the case with Shyampur Police Station the day after the murder.
","ওই হত্যাকান্ডের পরদিন শামসুন্নাহারের ভাই আশরাফ আলী রমনা থানায় হত্যা মামলা দায়ের করেন।
"
"Ayat's father and Salman Khan's brother-in-law Aayush Sharma (married to Arpita Khan Sharma) shared a priceless picture of Salman Khan and Ayat on his Instagram stories.
","আহিলের মা ও সালমানের বোন অর্পিতা খান শর্মা ইনস্টাগ্রামে কয়েকটি ছবি শেয়ার করে এ খবর দিলেন।
"
"Rescuers were unable to contact the sister and brother-in-law of first lady Silvana López Moreira, along with their three children and a domestic worker.
","উদ্ধারকারীরা প্যারাগুয়ের ফার্স্টলেডি সিলভানা লোপেজ মোরেইরার বোন, বোনের স্বামী, তাঁদের তিন সন্তান ও গৃহকর্মী কারও সঙ্গেই যোগাযোগ করতে পারছেন না।
"
"His brother-in-law Aayush Sharma will be playing the lead antagonist in Antim.
","অন্যদিকে তাঁরই প্রতিপক্ষ গ্যাংস্টারের চরিত্রে দেখা যাবে ভগ্নিপতি আয়ুষ শর্মাকে (Ayush Sharma)।
"
"Salman's brother-in-law Aayush Sharma will star in the movie.
","তার বিপরীতে নায়ক হিসেবে থাকবেন সালমানের ভগ্নিপতি আয়ুষ শর্মা।
"
"Salman's brother-in-law Aayush Sharma also stars in the movie.
","সিনেমায় সালেমানের সঙ্গে রয়েছেন তার বোনের স্বামী আয়ুষ শর্মা।
"
"This included his wife, parents, younger brother, brother-in-law and another relative.
","এরমধ্যে ছিলেন স্বামী, ভাশুর, শ্বশুর, শাশুড়ি, চাচাশ্বশুরসহ কয়েকজন প্রতিবেশী।
"
"According to Indian media, Sridevi brother-in-law Sanjay Kapoor confirmed her death.
","শ্রীদেবীর মৃত্যুর সংবাদটি গণমাধ্যমে জানিয়েছেন তার স্বামীর ছোট ভাই সঞ্জয় কাপুর।
"
"The film features Salman's brother-in-law Aayush Sharma and Warina Hussain in the lead role.
","এতে প্রধান চরিত্রে অভিনয় করেছেন সালমানের বোন শওহর আয়ুষ শর্মা ও ওয়ারিনা হোসেন।
"
"And maybe that is your brother-in-law!
","আর সেটা তোমার বোন ও হতে পারে!
"
"Arbaaz’s son Arhaan and parents Salim Khan and Salma Khan, and brother-in-law Aayush Sharma were also spotted at the bash.
","সালমানের বাবা সেলিম খান আর দুই ভাই সোহেল খান ও আরবাজ খানকেও দেখা গেছে।
"
"My brother-in-law is a police constable.
","আমার বন্ধু পুলিশের বড়কর্তা।
"
"Later, his brother-in-law died.
","পরে তার বুড়ীদাদীও মারা যায়।
"
"The five other accused in the case are - Rony's bother Sarwar, brother-in-law Makbul, BNP leader Shahjahan Khan, his son Shiplu Khan and Shah Alam Shanu.
","অন্য আসামিরা হলেন- জেলা বিএনপির সহ-সভাপতি শাহজাহান খান, রনির ভাই সরোয়ার হোসেন, শ্যালক মকবুল হোসেন, চিকনিকান্দি ইউনিয়ন পরিষদের সাবেক চেয়ারম্যান শিপলু খান ও শাহ আলম সানু।
"
"""""""An FIR has been lodged in the land purchase case against Congress President Rahul Gandhi's brother-in-law Robert Vadra.""
","কংগ্রেস সভাপতি রাহুল গাঁধীর ভগ্নিপতি রবার্ট ভদ্রার বিরুদ্ধে গুরগাঁওয়ের খেরকি দৌলায় জমি জালিয়াতির মামলায় এফআইআর দায়ের করা হয়েছে।
"
"I used to observe the behaviour of many of them with my brother-in-law Masum.
","শ্যালক মাসুমকে সঙ্গে নিয়ে ওদের অনেকেরই হাবভাব, চালচলন পর্যবেক্ষণ করতাম।
"
"Humayun Kabir, brother-in-law of the deceased, has filed a murder case with Patgram police station accusing unidentified individual, confirmed Sumon Kumar Mohant, officer-in-charge (OC), Patgram police station.
","পাটগ্রাম থানা ভারপ্রাপ্ত কর্মকর্তা (ওসি) সুমন কুমার মহন্ত জানান, ‘নিহত যুবকের বড় ভাই জাহাঙ্গীর হোসেন অজ্ঞাত ব্যক্তিদের আসামী করে মামলা দিয়েছে।
"
"Present with her were her parents, sister and brother-in-law.
","সঙ্গে ছিলেন সনুর মা, বাবা ও খালা।
"
"This was the biggest Jaish training camp in Pakistan and was led by Yousuf Azhar , the brother-in-law of Masood Azhar.
","এরমধ্যে সবথেকে ওপরে ছিল বালাকোটে জৈশের সবথেকে বড় জঙ্গি প্রশিক্ষণ কেন্দ্র, যার মাথা ছিল মাসুজ আজহারের শ্যালক ইউসুফ আজহার।
"
"Her sister and brother-in-law were also present there.
","সঙ্গে ছিলেন তাঁর বোন ও ভাগ্নি।
"
"The film features Salman's brother-in-law Aayush Sharma and Warina Hussain in the lead role.
","এতে সালমানের ভগ্নিপতি অভিনেতা আয়ুশ শর্মা ও অভিনেত্রী ওয়ারিনা হুসেন অভিনয় করেছেন।
"
"After initial investigation, police arrested the victim s brother-in-law.
","প্রাথমিক তদন্তের পর পুলিশ অভিযুক্তকে গ্রেফতার করে।
"
"The film also stars his brother-in-law Aayush Sharma.
","সেই ছবিতে রয়েছেন 'ভাইজান'-এর ভগ্নিপতি অভিনেতা আয়ুষ শর্মাও।
"
"Police also arrested his wife and his brother-in-law’s wife.
","সেইমত তপন দাস এবং তার স্ত্রীকে গ্রেপ্তার করে পুলিশ।
"
"Apart from the husband Lalit Jain, police have also arrested Lalit’s father, brother, sister-in-law and his brother’s brother-in-law for being passive participants in Silky’s murder.
","এই খুনের ঘটনার সঙ্গে জড়িত থাকার অভিযোগে ললিত, তার বাবা, ভাই, ভাইয়ের বউ এবং ভাইয়ের শ্যালককে গ্রেফতার করেছে পুলিশ।
"
"Among the arrestees, Apu Mia is the brother-in-law of the councillor of Ward 34 of the Dhaka North City Corporation (DNCC) Sheikh Mohammed Hossain Khokon.
","এদের মধ্যে অপু মিয়া ঢাকা উত্তর সিটি করপোরেশনের ৩৪ নম্বর ওয়ার্ডের নবনির্বাচিত কাউন্সিলর শেখ মোহাম্মদ হোসেন খোকনের ভগ্নিপতি।
"
"The deceased were identified as Shah Alam, his wife Nasima Begum, and their son Amit, his mother-in-law Shamsunnahar and sister-in-law Roksana Begum, brother-in-law Rubel and auto-rickshaw driver Nur Hossain of Chandraganj in the Sadar upazila.
","নিহতরা হলেন- অটোরিকশার যাত্রী শাহ আলম ও তার শিশু পুত্র অমিত হোসেন, সামছুন নাহার ও তার দুই মেয়ে নাছিমা আক্তার, রোকেয়া বেগম এবং মেয়ের জামাতা রুবেল হোসেন ও অটোরিকশা চালক নূর হোসেন।
"
"The accused brother-in-law is absconding.
","অভিযুক্ত ছোট ভাই পলাতক।
"
"As Rahul Gandhi geared up to file his nominations for a tough contest in Amethi, he was accompanied by his mother Sonia Gandhi, sister Priyanka Gandhi Vadra and brother-in-law Robert Vadra.
","এদিন রাহুলের মনোনয়ন পেশের সময় তাঁর সঙ্গে উপস্থিত ছিলেন মা সোনিয়া গান্ধী, বোন প্রয়াঙ্কা গান্ধী ও ভগ্নীপতি রবার্ট ভদরা।
"
"He is her brother-in-law.
","ইনি তার ভায়ের বৌ।
"
"Sridevi's brother-in-law Sanjay Kapoor revealed that the actress had no history of a heart disease.
","বনি কাপূরের ভাই অভিনেতা সঞ্জয় কাপূর অবশ্য দাবি করেছেন, হৃদরোগজনিত কোনও সমস্যাই ছিল না শ্রীদেবীর।
"
"Antim is the first onscreen collaboration of Salman with his brother-in-law Aayush Sharma.
","এই সিনেমার মাধ্যমেই প্রথমবার বড়পর্দায় একসঙ্গে হাজির হচ্ছেন সালমান এবং তার ভগ্নিপতি আয়ুশ শর্মা।
"
"None of his relatives except his wife and brother-in-law know about it.
","পরিবারের মানুষ আর গুটি কয়েক শুভানুধ্যায়ী ছাড়া আর কেউ সে কথা জানেন না।
"
"Popular south Indian actor Mahesh Babu is his brother-in-law.
","ভারতের দক্ষিণী তারকা অভিনেতা মহেশ বাবু।
"
"According to police, Vinod's mother, Savitri Devi, wife Seema, two children and brother-in-law's son Sachin were at the house at the time of incident.
","সেই সময় বাড়িতে উপস্থিত ছিলেন বিনেদের মা সাবিত্রী দেবী, স্ত্রী সীমা, দুই সন্তান ও শ্যালক সচিন।
"
"Salman Khan and his brother-in-law, actor Aayush Sharma, were spotted promoting their film Antim: The Final Truth, at the Mehboob Studios in Bandra.
","মুম্বইতে 'অন্তিম: দ্য ফাইনাল ট্রুথ' ছবির ট্রেলার লঞ্চে হাজির ছিলেন সলমন খান, আয়ুষ শর্মা এবং ছবির কলাকুশলীরা।
"
"The police said she was living with her brother-in-law's family in Mumbai.
","পুলিশ বলছে ওই তরুণী পরিবারের সঙ্গে মুম্বাইতে থাকতেন।
"
"OP Singh is Sushant Singh Rajput's brother-in-law.
","ও পি সিং হলেন সুশান্ত সিং রাজপুতের দুলাভাই।
"
"Police arrested the dead woman’s husband, brother-in-law , father-in-law, and mother-in-law for her murder.
","এক গৃহবধূর অস্বাভাবিক মৃত্যুর ঘটনায় স্বামী, শ্বশুর ও শাশুড়িকে গ্রেফতার করল পুলিশ।
"
"His brother-in-law died on the spot.
","ঘটনাস্থলেই চাচা-ভাতিজার মৃত্যু হয়।
"
"A sister-in-law and my brother-in-law were also there.
","সঙ্গে ছিলেন আমার একটি ভ্রাতা ও একটি ভগ্নী।
"
"Later, the abductors demanded a ransom of Tk15 lakh from Zahura Begum's husband Lutfar Rahman and brother-in-law Ramzan Ali over the phone.
","পরে অপহরণকারীরা মোবাইলে জহুরা বেগমের স্বামী লুৎফর রহমান ও দেবর রমজান আলীর কাছে ১৫ লাখ টাকা মুক্তিপণ দাবি করে।
"
"Monir Hossain's two sisters and two brothers-in-law were looking after and enjoying the plots of RAJUK.
","মনির হোসেনের দুই বোন ও দুই ভগ্নিপতি রাজউকের প্লটগুলো দেখাশোনা ও ভোগদখল করে আসছিলেন।
"
"Police said that Manish had named his father-in-law, mother-in-law, six brothers-in-law and their wives in the note.
","পুলিশ জানিয়েছে যে মনিশ তার শ্বশুর, শাশুড়ী, ছয় শ্যালক এবং তাদের স্ত্রীদের নাম নোটে রেখেছিলেন।
"
"The senior police officer then fired at his wife, mother-in-law and two brothers-in-law, killing them instantly.
","এরপরে Theর্ধ্বতন পুলিশ অফিসার তার স্ত্রী, শাশুড়ী এবং দুই ভগ্নিপতিকে গুলি করে গুলি করে তাত্ক্ষণিকভাবে হত্যা করে।
"
"Umm Hani’ the daughter of Abd Talib said, “When the Prophet (pbuh) stayed in the upper part of Makkah, two of my brothers-in-law of Bani Makhziim escaped and hid in my house.”
","আবু তালিবের কন্যা উম্মে হানী (রা) বলেন ঃ মক্কা বিজয়ের প্রাক্কালে বনু মাখযুম গোত্রের আমার দুই দেবর পালিয়ে এসে আমার কাছে আশ্রয় নেয়।
"
"Most of his special officers, chamberlains, ministers, judges and brothers-in-law are foreigners.
","তার বিশেষ কর্যাধ্যক্ষ, মন্ত্রী, বিচারক, এমনকি স্যালকদের মধ্যেও বেশির ভাগই বিদেশী।
"
"The police have arrested the woman’s father, brother and two brothers-in-law.
","পুলিশ এই ঘটনায় পুত্রবধূ মামনি ধারা, দুই নাতনি ও মামনি ধারার মাকে আটক করেছে।
"
"But it doesn’t include grandparents, grandchildren, aunts, uncles, nieces, nephews, cousins, brothers-in-laws and sisters-in-law, fiancés and any other extended family members.
","দাদা-দাদি, নানা-নানি, নাতি-নাতনি, খালা-ফুপু, মামা-চাচা, ভাগ্নে-ভাগ্নি, ভাতিজা-ভাতিজি অর্থাৎ বৃহৎ অর্থে পরিবারের অন্যান্য স্বজনরা এর আওতায় পড়বেন না।
"
"Teachers, fathers, sons and also grandfathers, grandsons, fathers-in-law, maternal uncles, brothers-in-law and relatives,—
","আচার্যগণ, পিতৃস্থানীয়গণ, পুত্রগণ তথা পিতামহগণও, মাতুলগণ, শ্বশুরগণ, পৌত্রগণ, শ্যালকগণ এবং সম্বন্ধিগণ ॥
"
"The wife of the deceased alleged that her brothers-in-law had killed her husband over a property dispute.
","মৃতের স্ত্রীর অভিযোগ, শ্বশুর-শাশুড়ির অশান্তির জেরেই আত্মহ্ত্যা করেছে তাঁর স্বামী।
"
"Battle of the brothers-in-law
","চাচা-ভাতিজির লড়াই
"
