eng_Latn,mar_Deva
"""""""Are you a grandfather?""""""
","""""""तुला दादा?""
"
"""""""Are you the grandfather?""
","""""""तुला दादा?""
"
"""""""Didn't grandfather tell you?""
","""""""दादाजी तुम्हाला ओरसने सांगितल नाही का?""
"
"""""""Do not worry, grandfather.""
","""""""तुम्ही काळजी करू नका दादा.""
"
"""""""How did you know my grandfather?""""""
",""""""" तुम्ही नानांना कसे ओळखता ?""
"
"""""""I told my grandfather the same thing.""
","""""""मीही तेच म्हणतेय दादा.""
"
"""""""I told you, my grandfather - """"""
","""""""मी सांगते हं दादाला. . . """"""
"
"""""""I will see you again, grandfather.""""""
","""""""उद्या पुन्हा भेट देईन, पितामह.""
"
"""""""I'm asking my grandfather.""
",""""""" मी चोकशी करत दादाला विचारलं.""
"
"""""""I'm the grandfather.""
","""""""मी इथला दादा आहे.""
"
"""""""Is this... your grandfather?""""""
","""""""अरेच्चा. . हे तुझे वडील आहेत?""
"
"""""""My grandfather and father both went to school at Tulane.""
","""""""आप्पा आणि तात्या दोघेही शाळेत गेलेत.""
"
"""""""My grandfather is inside.""
",""""""" आज्जी आलीच आतमध्ये.""
"
"""""""My grandfather is my biggest inspiration.""
","""यावर त्या म्हणतात, """"माझे वडिल माझे सर्वांत मोठे प्रेरणास्थान आहेत.""
"
"""""""My grandfather knows.""
",""""""" दादा तुम्हाला माहिती आहेच.""
"
"""""""My grandfather will come?""""""
","""""""माझा शिरपा येणार हाय?""
"
"""""""Now is that the way to speak to your grandfather?""""""
","""""""आपल्या वडलांशी बोलायची ही पद्धत आहे का?""
"
"""""""Please grandfather.""
",""""""" कृपा करा दादा.""
"
"""""""What did I say, grandfather?""""""
","""""""काय म्हणाला हो, दादा?""
"
"""""""What do you think grandfather would say?""""""
","""""""काय वाटतं दादा, आबा खरं बोलत असतील?""
"
"""""""What does your grandfather say about this?""""""
",""""""" यावर दादासाहेब काय बोलणार?""
"
"""""""Where are you going, grandfather?""""""
","""""""तू कुठे चालला आहेस दादा?""
"
"""""""Which grandfather?""
","""""""काय दादा?""
"
"""""""Which grandfather?""""""
","""""""काय दादा?""
"
"""""""Why didn't grandfather come?""""""
","""""""पण दादा. . . . . दादा का नाही आला?""
"
"""""""Why do you say my grandfather?""
",""""""" """"आजी, तो बुवा असं का म्हणत होता गं?""
"
"""""""Why not, grandfather?""""""
","""""""नाही बुवा, का?""
"
"""""""You know grandfather.""
",""""""" दादा तुम्हाला माहिती आहेच.""
"
"""""""You know my grandfather.""
",""""""" दादा तुम्हाला माहिती आहेच.""
"
"""""""You're my grandfather?""
","""""""तुला दादा?""
"
"""""""You're my grandfather?""""""
","""""""तुला दादा?""
"
"""""""Your grandfather is a king.""""""
","""""""तुझे बाबा वारले राजा.""
"
"""""""Your great grandfather?""""""
","""""""भारीये बुवा तुमचं"""" """"मग?""
"
"""According to the Times of India report, """"Prabhas is going to marry a businessman's grandfather.""""""
","'टाइम्स ऑफ इंडिया'च्या एका वृत्तानुसार प्रभास एका उद्योजकाच्या नातीशी लग्न करणार आहे.
"
"""At the next morning my grandfather asked me """"How did you sleep?""""""
","""दुसर्या दिवशी सकाळी माझ्या भाऊजींनी मला विचारले """" कसे वाटले engagement होताना ?""
"
"""His grandfather asked him, """"Who are you?""""""
","' दादाने त्यांना विचारले,'कोण तुम्ही?
"
"""His grandfather replied, """"Not in my house.""""""
","""दादा म्हन्ला, """"घरात नाही.""""""
"
"""If today's grandfather Kondke is alive, he would have openly asked the public to see the naked dance on the TV in his films, """"What is your definition of 'mine', your 'porn'?""""""
","""आज जर दादा कोंडके हयात असते, तर आजच्या सिनेमांत-टीव्हीवर चाललेला नंगा-नाच पाहून त्यांनी जनतेला खुल्ला विचारलं असतं की """"तुमच्या मायला, तुमची 'अश्लील'ची नेमकी व्याख्या तरी काय आहे?""
"
"""The grandfather said, """"I'm late.""
","""दादा म्हणाले, """" लय उशीर केलास !""
"
"""You are my grandfather?""""""
","""""""तुला दादा?""
"
"A 16-year-old girl's grandfather died.
","पीडित १६ वर्षीय मुलीच्या वडिलांचे तिच्या लहानपणीच निधन झाले होते.
"
"A father or grandfather.
","बाबा हो या पोता .
"
"A grandfather was arrested.
","दादा पकडले गेले.
"
"After her grandfather's death all that changed.
","आपल्या वडिलांच्या मृत्यूनंतर सगळ्या गोष्टी बदलल्या.
"
"After the fall of the Axis Powers (Germany, Italy, Japan) by Allied Forces (UK, France, Poland) in WWII, Shah Rukh's grandfather was brought to India along with others in Bose's army, where they were held as prisoners and tried under a British court albeit on Indian soil.
","दुसऱ्या महायुद्धात मित्र राष्ट्रांकडून (यूके, फ्रान्स, पोलंड) धुरी शक्ती (जर्मनी, इटली, जपान) च्या पतनानंतर, शाह नवाजला बोसच्या सैन्यातील इतरांसह भारतात नेण्यात आले, जिथे ते क्रांतिकारक मानले जात होते.
"
"After the partition of India-Pakistan, Tufail went to Pakistan whereas his grandfather remained in India.
","भारत-पाकिस्तान फाळणीनंतर तुफैल पाकिस्तानला गेले तर त्यांचे भाऊ भारतातच राहिले.
"
"After the partition of India-Pakistan, Tufail went to Pakistan while his grandfather remained in India.
","भारत-पाकिस्तान फाळणीनंतर तुफैल पाकिस्तानला गेले तर त्यांचे भाऊ भारतातच राहिले.
"
"Ah my grandfather, a communist
","आह मेरे दादा, एक कम्युनिस्ट,
"
"Also His grandfather, Sardar Malik, was a great music director.
","अनू मलिक यांचे वडील सरदार मलिक हेदेखील एक चांगले संगीतकार होते.
"
"Also my grandfather and grandmother.
","अगदी माझी आई आणि आज्जी पण.
"
"America is seen as the grandfather of the world.
","अमेरिका हा जगात एखाद्या दादा सारखा वागतो.
"
"Amy's grandfather died in March last year.
","मागच्या वर्षी मार्च महिन्यात ऐश्वर्याच्या वडिलांचे निधन झाले होते.
"
"And my grandfather was not the exception.
","माझे दादा ही ह्याला अपवाद नव्हते.
"
"And you're a grandfather now.
","आता तू दादा झालास.
"
"Asked the grandfather again.
","चाची ने परत विचारले.
"
"At that moment, the grandfather
","त्यावेळी दादा ॥
"
"At the age of 14, his grandfather dropped dead of a heart attack.
","तो 14 वर्षाचा असताना वडिलांचा हृदयविकाराच्या धक्क्याने निधन झाले.
"
"Both his father and grandfather were players and singers.
","त्यांचे आई आणि वडील दोघेही गायक आणि अभिनेते होते.
"
"Both his grandfathers were science professors.
","आई-वडील दोघेही प्रख्यात वैज्ञानिक होते.
"
"Both she and my grandfather were the same age.
","मी आणि त्यांचा दादा एकाच वयाचे.
"
"But his grandfather wouldn't listen.
","मात्र बुवा तिचे काही ऐकत नाही.
"
"But my grandfather was an exception.
","पण माझ्या सासूबाई त्याला अपवाद होत्या.
"
"But the grandfather did not pay attention to it.
","पण दादा त्याच्याकडे लक्षच देत नव्हता.
"
"But you didn't meet the grandfather?
","पण तुम्ही नानांच्या ओळखीनी आलात ना?
"
"But, I believe in my grandfather.
","पण दादावर माझा विश्वास आहे.
"
"Congratulations on being a grandfather.
","आज्जी झाल्याबद्दल अभिनंदन.
"
"Criminal proceedings have been initiated against the girl's mother and maternal grandfather.
","मुलीच्या आई आणि प्रियकराविरोधात गुन्हा दाखल झाला आहे.
"
"Currently, her grandfather is ill with cancer.
","आपले वडील सध्या कर्करोगाने ग्रस्त आहेत.
"
"Despite the fact that today there are safe and effective methods of teeth whitening, some people continue to use grandfather recipes.
","आज पद्धती चमकवण्याची सुरक्षित आणि प्रभावी दात आहेत की असूनही, काही लोक जुन्या पद्धतीचा पाककृती वापरणे सुरू ठेवा.
"
"Donald Trump's grandfather was born in Germany.
","डोनाल्ड ट्रम्प यांच्या वडिलांचा जन्म अमेरिकेत झाला.
"
"Everyone has a right to their grandfather's property.
","प्रत्येकाला वडिलांची मालमत्ता वापरण्याचा हक्क मिळाला आहे.
"
"Father and grandfather was killed.
","आजी आणि बापाची हत्या झाली.
"
"Father's Day, June 21 is a day of honoring, expressing gratitude to dads and grandfathers.
","मुंबई, 21 जून: वडिलांप्रती असलेल्या प्रेमभावना, आदर व्यक्त करण्याचा दिवस म्हणजे Father's Day.
"
"He could be her grandfather or an uncle.
",") ती त्यानं त्याचे काका-काकी किंवा मामा-मामी (अंकल-आँटी' म्हणजे काहीही असू शकतं.
"
"He decided to talk to his grandfather about it.
","त्याने या विषयावर आपल्या मोठया भावाशी बोलायचे ठरवले.
"
"He greatly honored his grandfathers.
","दादांच्यापाशी त्यांची ते खूप स्तुती करत.
"
"He grew up in his grandfather's village.
","तो मामाच्या गावातच वाढला.
"
"He was 17 and meeting his grandfather for the first time.
","मुलगी 17 वर्षांची झाली तेव्हा पहिल्यांदा वडिलांना भेटली होती.
"
"He was a father of four sons, a grandfather and great-grandfather.
","एक चार वर्षांचा मुलगा, त्याचे आई-बाबा आणि आज्जी होती.
"
"He was a grandfather, uncle and great-uncle.
","चाचा - चाची, दादा - दादी आणि बुवापण होतीच.
"
"He was driving a tractor while helping his grandfather on the farm.
","आपल्या वडिलांना शेतात मदत करण्यासाठी तो ट्रॅक्टर चालवायचा.
"
"He was like a grandfather.
","तो खरच एखाद्या दादासारखा रगेल होता.
"
"He was my grandfather, Bill.
","तो माझा मुलगा होता, बिल.
"
"He was sort of like a grandfather.
","तो खरच एखाद्या दादासारखा रगेल होता.
"
"He was taken there by his grandfather.
","मग दादा तिथं घेऊन गेला होता.
"
"He was the youngest child of my grandfather.
","तो माझ्या मोठ्या आईचा मुलगा होता.
"
"He went to his grandfather's shop.
","तो तडक आबाच्या दुकानात गेला.
"
"He's still the grandfather.
","आताही तोच दादा आहे.
"
"He, like his grandfather, was actively involved in politics.
","आपल्या पित्याप्रमाणे त्यांनी राजकारणांतही भाग घेतला.
"
"Her father and grandfather both worked in the construction industry.
","तिचे वडील आणि आई बांधकाम क्षेत्रात काम करतात.
"
"Her grandfather Erling Persson founded the chain in 1947.
","त्यांचे वडील इर्लिंग पर्सन यांनी १९४७ मध्ये कंपनीची स्थापना केली.
"
"Her grandfather Harivansh Rai Bachchan was a celebrated Hindi poet.
","त्यांचे वडील हरिवंशराय बच्चन हे हिंदीतील एक महान कवी होते.
"
"Her grandfather Manohar Joshi served as the chief minister of Maharashtra from 1995 to 1999.
","याअगोदर शिवसेनेचे नेते मनोहर जोशी 1995 ते 1999 या काळात महाराष्ट्राचे मुख्यमंत्री झाले होते.
"
"Her grandfather and mother both musicians and singers.
","त्यांचे आई आणि वडील दोघेही गायक आणि अभिनेते होते.
"
"Her grandfather died in the 2020s.
","2020 मध्ये तिच्या वडिलांचे नि'धन झाले होते.
"
"Her grandfather died when she was in third grade.
","अनुजा तिसरीला असताना तिच्या वडिलांचे निधन झाले.
"
"Her grandfather had taught her English as a child.
","तर जान्हवीचे वडील तिला लहानपणापासून इंग्लिश शिकवत होते.
"
"Her grandfather is 70 years old.
","त्यांच्या वडिलांचे वय 70 वर्षे आहे.
"
"Her grandfather is a scientist.
","तिचे वडील वैज्ञानिक आहेत.
"
"Her grandfather was a doctor himself.
","त्याचे वडील स्वतः डॉक्टर होते.
"
"Her grandfather was a fisherman.
","त्यांचे वडील मासेमार होते.
"
"Her grandfather was an executive of the Southern Pacific Railroad.
","त्यांचे वडील दक्षिणी रेल्वे चे सामान्य प्रबंधक होते.
"
"Her grandfather was in the Indian Army.
","तिचे वडील इंडियन आर्मीमध्ये होते.
"
"Her grandfather was in the hospital.
","बुवा तर हॉस्पिटल मध्ये होते.
"
"Her grandfather, William H. Gates Sr., was a prominent lawyer and her grandmother, Mary Maxwell Gates, a member of the board of directors of First Interstate BancSystem and the United Way.
","""त्यांचे वडील विलियम एच गेट्स हे सुप्रसिद्ध वकील होते व त्यांची आई मेरी मैक्सवेल या """"युनायटेड वे"""" आणि """"फर्स्ट इंटरस्टेट बँक सिस्टम"""" च्या बोर्ड्स ऑफ डायरेक्टरर्स मधील एक होत्या.""
"
"Her law abiding paternal grandfather was arrested and shot in 1937.
","तिचे दत्तक वडील 1937 आणि शॉट मध्ये कोंडणे होते.
"
"His dad and grandfather were both musicians and singers.
","त्यांचे आई आणि वडील दोघेही गायक आणि अभिनेते होते.
"
"His father and grandfather were also Gurkhas.
","त्याचे वडील आणि भाऊ हे देखील गोरखा सैनिकच होते.
"
"His grandfather (d. c.
","त्यांचे वडील (कै.
"
"His grandfather Erling Persson founded the network in 1947.
","त्यांचे वडील इर्लिंग पर्सन यांनी १९४७ मध्ये कंपनीची स्थापना केली.
"
"His grandfather Surinder Kapoor was a Bollywood film producer.
","त्यांचे वडील सुरिंदर कपूर हे बॉलिवूडमधील चित्रपट निर्माते होते.
"
"His grandfather always inspires him to move forward.
","त्यांचे वडील कायम त्यांना उत्तरोत्तर प्रगती करण्यास प्रवृत्त करत.
"
"His grandfather and father were boxers.
","त्यांचे वडील आणि भाऊ क्रिकेटपटू होते.
"
"His grandfather and my father were good friends.
","माझे वडील आणि त्यांचे वडील चांगले मित्र होते.
"
"His grandfather did at that time.
","त्या वेळेस त्याच्या वडिलांनी कृती केली.
"
"His grandfather died in 1914.
","पण त्याचे वडील १९१४ साली मरण पावले.
"
"His grandfather died in 2020.
","2020 मध्ये तिच्या वडिलांचे नि'धन झाले होते.
"
"His grandfather had bought the farm in 1930.
","माझ्या वडिलांनी तो १९३० साली गिरगावातून विकत घेतला होता.
"
"His grandfather had cancer.
","त्याच्या वडिलांना कॅन्सर होता.
"
"His grandfather had done something like that?
","यांच्या बापानं कधी बिर्याणी अशी केली होती का?
"
"His grandfather had never been so angry with him.
","दादाने त्याला कधी नाराज पहिलाच नव्हता.
"
"His grandfather is a physicist.
","त्याचे वडिल भौतिक शास्त्रज्ञ आहेत.
"
"His grandfather is the renowned poet Harishvanshrai Bachchan.
","प्रख्यात कवी हरिवंशराय बच्चन हे त्यांचे वडील.
"
"His grandfather played first-class cricket.
","त्याचे वडील हे प्रथम श्रेणी क्रिकेटमध्ये खेळले अाहेत.
"
"His grandfather served as a naval doctor.
","त्यांचे वडील एक नौदल डॉक्टर होते.
"
"His grandfather shifted to the U.S with his family.
","ते त्यांच्या फॅमिलीसोबत युएसला त्यांच्या भावाकडे शिफ्ट झाले.
"
"His grandfather started the shop in 1912.
","त्यांच्या वडिलांनी १९२० साली हे दुकान सुरू केलं.
"
"His grandfather started this project.
","दादांनी त्या प्रकल्पाचे उद्घाटन केलं.
"
"His grandfather was Mayor of Los Angeles.
","पूर्वी, त्याचे वडील लॉस आंजल्स महापौर होते.
"
"His grandfather was a Music Man.
","त्याचे वडील एक संगीतज्ञ होते.
"
"His grandfather was a bank officer.
","त्यांचे वडील बँक अधिकारी होते.
"
"His grandfather was a bank president.
","त्यांचे वडील बँक अधिकारी होते.
"
"His grandfather was a church minister.
","त्याच्या वडिलांना एक चर्च मंत्री होते.
"
"His grandfather was a communist.
","त्याच्या वडिलांना एक कट्टर कम्युनिस्ट.
"
"His grandfather was a fisherman.
","त्यांचे वडील मासेमार होते.
"
"His grandfather was a landowner.
","त्यांचे वडील एक जमीनदार होते.
"
"His grandfather was a lawyer as well.
","त्यांचे वडीलही वकील होते.
"
"His grandfather was a military boxing champion.
","त्यांचे वडील बॉक्सिंग धार एक चॅम्पियन होते.
"
"His grandfather was a musician.
","त्याचे वडील एक संगीतज्ञ होते.
"
"His grandfather was a rich landlord.
","त्याचे वडील एक श्रीमंत जमिनदार होते.
"
"His grandfather was a scientist.
","त्याचे वडील शास्त्रज्ञ होते.
"
"His grandfather was a sharecropper.
","त्यांचे वडिल शेयरक्रॉपर होते.
"
"His grandfather was a successful business man.
","त्यांचे वडील, एक अत्यंत यशस्वी व्यापारी होते.
"
"His grandfather was also a chemistry professor.
","त्यांचे वडीलही रसायनशास्त्रज्ञ होते.
"
"His grandfather was also a fighter pilot in the Indian Air Force.
","त्यांचे वडीलही पाकिस्तानी हवाई दलात एअर मार्शल होते.
"
"His grandfather was also a lawyer.
","त्यांचे वडीलही वकील होते.
"
"His grandfather was also a police officer.
","त्यांचे वडील देखील पोलीस अधिकारी होते.
"
"His grandfather was always an inspiration to him.
","त्यांच्यासाठी त्यांचे वडील हे नेहमी प्रेरणास्त्रोत आहेत.
"
"His grandfather was an IAS official.
","त्यांचे वडील आयसीएस अधिकारी होते.
"
"His grandfather was from Bihar.
","त्याचे बाबा मूळ बिहारचे आहेत.
"
"His grandfather was from a Jewish family.
","त्याचे वंशज एक ज्यू परदेशातून कुटुंब आले.
"
"His grandfather was his first soccer coach.
","त्याचे पपा हे त्याचे फुटबॉल खेळातील पहिले गुरु आहेत.
"
"His grandfather was in the hospital.
","बुवा तर हॉस्पिटल मध्ये होते.
"
"His grandfather was in the navy.
","त्याचे वडील नेव्हीमध्ये होते.
"
"His grandfather was involved in the labor movement.
","त्यांचे वडील कामगार चळवळीमध्ये सक्रिय होते.
"
"His grandfather was looking at him.
","बुवाही त्याच्याकडेच पहात होते.
"
"His grandfather was mayor of Los Angeles
","पूर्वी, त्याचे वडील लॉस आंजल्स महापौर होते.
"
"His grandfather was mayor of Los Angeles.
","पूर्वी, त्याचे वडील लॉस आंजल्स महापौर होते.
"
"His grandfather was retired.
","त्याचे वडील सेवानिवृत्त होते.
"
"His grandfather was the headmaster of the local school.
","त्यांचे वडील स्थानिक शाळेत मुख्याध्यापक होते.
"
"His grandfather was there.
","दादा तिथे आले होते.
"
"His grandfather was waiting for him.
","त्याचे वडील त्याची आतुरतेनं वाट बघत होते.
"
"His grandfather wasn't paying attention to him.
","पण दादा त्याच्याकडे लक्षच देत नव्हता.
"
"His grandfather worked for the East India Company.
","त्यांचे वडील ईस्ट इंडिया कंपनीत कार्यरत होते.
"
"His grandfather's friend.
","दादाचा मित्र.
"
"His grandfather's name was Motilal Nehru.
","त्यांच्या वडिलांचे नाव मोतीलाल नेहरु होतं.
"
"His grandfather's name was Shirin Mohammad Ali.
","त्यांचे नाव शिरीन मोहम्मद अली होते.
"
"His grandfather, Erling Persson, founded the chain in 1947.
","त्यांचे वडील इर्लिंग पर्सन यांनी १९४७ मध्ये कंपनीची स्थापना केली.
"
"His grandfather, Francis II, was the last emperor of the Holy Roman Empire.
","फ्रांसिस दुसरा हा पवित्र रोमन साम्राज्याचा शेवटचा सम्राट होता.
"
"His grandfather, Fred Trump Sr., was a successful builder.
","त्यांचे वडील फ्रेड्रीक ट्रम्प हे बांधकाम व्यावसायिक होते.
"
"His grandfather, Ranganathan Seshadri, used to work as an executive in Tata Steel.
","त्यांचे वडील रंगनाथ शेषाद्री हे टाटा स्टील कंपनीत एक फॉर्मर एक्जिक्यूटिव आहेत.
"
"His grandfather, S. P. Sambamurthy, was a popular Harikatha Artist.
","त्यांचे वडील एस. पी. सम्बापूर्ती एक हरिकथा आर्टिस्ट होते.
"
"His grandfather, Zulfikar Ali Bhutto also led Pakistan during the 1970s.
","बेनझीरचे वडिल झुल्फिकार अली भुट्टो सत्तरच्या दशकात पाकिस्तानचा राज्यशकट चालवत होते.
"
"His grandfathers were engineers.
","त्यांचे वडील अभियंते होते.
"
"His grandmother was 18 years younger than his grandfather.
","पत्नी 18 वर्षे तिचा पती पेक्षा लहान होता.
"
"His great grandfather was a music teacher.
","त्याचे वडील मोठे संगीतकार होते.
"
"His great-great grandfather was Julius Caesar, and his great-grandfather was Augustus.
","त्याचे परदादा महान ज्युलियस सीजर आणि दादा अगस्तस होते.
"
"His maternal grandfather was Major General Shah Nawaz Khan.
","त्याची आई ही मेजर जनरल शहानवाज खान यांची दत्तक मुलगी.
"
"His maternal grandfather was a World War II veteran and Brigadier General in the Air Force.
","तिचे वडील दुसऱ्या महायुद्धातील योद्धे आणि सोव्हिएत हवाई दलात डेप्युटी कमांड-इन-चीफ होते.
"
"His mother and grandfather were also lost.
","माझे बाबा आणि आईही हरखून गेले होते.
"
"His paternal grandfather was a film director.
","त्याचे वडील एक चित्रपट दिग्दर्शक होते.
"
"I am your grandfather.
","तुमच्यासाठी तर मी दादा आहे. .
"
"I asked my grandfather why.
","मी वडिलांना याचे कारण विचारले.
"
"I asked my mother where my grandfather was.
","मी त्याच्या आईला विचारले कि त्याचे वडील कुठे आहेत?
"
"I asked them to accompany me to my grandfather's home.
","मी त्यांना माझ्याबरोबर विद्वांसांच्या घरी चलण्याचा आग्रह केला.
"
"I asked them to accompany me to my grandfathers home.
","मी त्यांना माझ्याबरोबर विद्वांसांच्या घरी चलण्याचा आग्रह केला.
"
"I decided to go look for grandfather.
","मी तडक दादांकडे जाण्याचा निर्णय घेतला.
"
"I didn't know my grandfather very well.
","माझा व दादांचा फारसा परिचय नव्हता.
"
"I didn't mention much about my grandfathers.
","माझ्या बंदिशींविषयी मी फार बोललेले नाही.
"
"I didn't speak a word of what my grandfather told me.
","दादा काय बोलले याबद्दल माझं त्यांच्याशी काही बोलणं झालं नाही.
"
"I do not like her grandfather.
","त्यांचा दादा मला अजिबात आवडत नाही.
"
"I do not remember my grandfather.
","मला माझे वडील जास्त आठवत नाहीत.
"
"I don't remember my grandfather much.
","मला माझे वडील जास्त आठवत नाहीत.
"
"I don't remember my grandfather very much.
","मला माझे वडील जास्त आठवत नाहीत.
"
"I don't remember my grandfather.
","मला माझे वडील जास्त आठवत नाहीत.
"
"I had lost my grandfather and father.
","माझी आजी आणि वडिलांना मी गमावले आहे.
"
"I have a deep respect for my grandfather.
","दादाचा मी मनापासून आदर करतो.
"
"I have always looked forward to seeing my grandfather.
","नेहमी माझ्या मनात दादाला भेटण्याची आस.
"
"I heard them all from my grandfather and father.
","मी त्यांना ऐकत आलोय माझ्या वडिलांकडून आणि वडिलधा-यांकडून.
"
"I kneeled at my grandfather's feet.
","दादाच्या पायांवर मी पाय देत होतो.
"
"I like the grandfather.
","मला आवडला बुवा.
"
"I liked the grandfather.
","मला तर बुवा खूप आवडला.
"
"I lost my father and grandfather.
","माझी आजी आणि वडिलांना मी गमावले आहे.
"
"I lost my grandfather and my cousin.
","माझी आजी आणि वडिलांना मी गमावले आहे.
"
"I missed my mother and my grandfather.
","माझी आजी आणि वडिलांना मी गमावले आहे.
"
"I remember my grandfather crying.
",". माझी आज्जी आठवून खूप रडू आलं.
"
"I remember my grandfathers too.
","मलाही आठवण आली माझ्या पप्पांची.
"
"I remember the way my grandfather gave directions.
","दादांनी केलेले मार्गदर्शन आठवत असते.
"
"I remembered grandfather.
","' मला दादा आठवले.
"
"I talk to my grandfather every day.
","मी दररोज दादा सोबत बोलत असे त्याला समजावत होती.
"
"I think it reminded him of his grandfather.
","मला भासलं की त्याला त्याच्या वडीलांची आठवण आली असावी.
"
"I used to play chess with my grandfather.
","दादाबरोबर सापशिडी खेळून झाली.
"
"I very much respected the grandfather.
","दादाचा मी मनापासून आदर करतो.
"
"I want to help grandfather.
","मला तिला मदत करायची आहे दादा.
"
"I was in the 10th grade and my grandfather passed away.
","'मी दहावीत गेले आणि वडिलांचे निधन झाले.
"
"I'm grateful for the direction my grandfather provided.
","माझ्या वडिलांनी केलेल्या मार्गदर्शनासाठी मी आभार मानतेच.
"
"I'm not like old grandfather.
","दादा वहिनी सारखंच मीही वर्जिन नाही.
"
"I'm the grandfather here.
","मी इथला दादा आहे.
"
"I'm the grandfather.
","'मी दादा आहे.
"
"I'm your grandfather.
","तुमच्यासाठी तर मी दादा आहे. .
"
"If the grandfather wasn't
","मामा जी अगर नही होते
"
"In the grandfather's words,
","दादाच्या शब्दात सांगायचे झाले तर,
"
"Is it his grandfather's property?
","ती काय त्यांच्या वडिलांची संपत्ती आहे काय ?
"
"It came to my grandfather's house.
","दादाच्या घरी पोहचलो.
"
"It was his grandfather's brother name.
","भाऊ हे त्यांच्या वडीलांचे नाव होते.
"
"It was the grandfather who opened it.
","दादांनी तो उघडला.
"
"It's me and my grandfather.
","मी आणि दादाजी आहोत.
"
"Johnson's father and grandfather were both teachers.
","इवान बॉर्नची आई आणि वडील दोघेही शिक्षक होते.
"
"July 19th is my grandfather's birthday.
","१९ मे म्हणजे माझ्या आज्जीचा वाढदिवस.
"
"Kartik Aaryan with his grandfather.
","कार्तिक आर्यन त्याच्या बाप्पासह.
"
"Luckily his grandfather did not ask where it came from.
","नशीब, त्यापुढे त्याने, कुठून येतात असं विचारलं नाही.
"
"Ma Ho's father was a Muslim hajji (who had made a pilgrimage to Mecca along with his grandfather) and the family name of Ma was used by Muslims in representation of the word Mohammed.
","मा होचे वडील मुस्लिम हजजी होते (ज्यांनी मक्काचे तीर्थस्थान बनवले होते) आणि माचा कौटुंबिक नाव मुसलमानांद्वारे मोहम्मद शब्द म्हणून वापरला होता.
"
"Me and my grandfather
","दादा आणि मी
"
"Me: I have a grandfather.
","अवांतरः माझा एक मामा आहे.
"
"Modi is the grandfather of Indian politics.
","मोदी हे भारतीय राजकारणातील विराट कोहली आहेत.
"
"My brother, my grandfather,
","आमच्या दादाचं, माझ्या भावाचं,
"
