eng_Latn,mar_Deva
"Meanwhile, Sonam Kapoor and Ranvir Singh are also relatives as Anil Kapoor’s mother-in-law and Ranvir’s grandfather are siblings.
","रणवीर सिंग आणि सोनम कपूर: बॉलीवूड चे अभिनेते अनिल कपूर यांची मुलगी सोनम कपूर व बॉलीवूड चे खूपच उत्साही अभिनेते रणवीर सिंग हे दोघे एकमेकांचे चुलत भाऊ बहीण आहेत.
"
"Shah Rukh Khan's youngest child, AbRam is ‘convinced’ that megastar Amitabh Bachchan is his grandfather.
","बिग बींनी शेअर केलं आहे की, शाहरूखचा लहान मुलगा अबराम याला पूर्णपणे असं वाटतं की, मी शाहरूखचे वडिल आहे.
"
"There were grandfathers of two children also along with them.
","या गावगुंडांसोबत दोन अल्पवयीन मुलंसुद्धा होती.
"
"Particularly my grandfather was very much in love with me.
","विशेषतः पप्पा माझे खूप लाड करायचे.
"
"I have learnt a lot from my grandfather.
","बाबांकडून आम्ही बहिणी खूप काही शिकलो.
"
"And what of your grandfather?
","आणि काय चाललंय तुझ्या बाबांचं?
"
"He has been responsible for his father’s death and his grandfather’s.
","त्याने आपल्या सासू आणि पत्नीला आपल्या मृत्यूस जबाबदार धरलंय.
"
"At the age of 15 John’s grandfather passed away.
","त्यांच्या वयाच्या १५ व्या वर्षी त्यांचे वडील वारले.
"
"His mother had died later and he had been raised by his grandfather.
","नंतर त्यांची आजी वारली आणि नंतर त्यांच्या मावशीने त्यांचा सांभाळ केला.
"
"Both his father and grandfather were professional musicians.
","त्यांचे वडील आणि काका देखील शास्त्रीय संगीतात प्रवीण होते.
"
"A family is a father and a mother, as well as grandfather and a grandmother.
","कुटुंबात आई तसेच एक भाऊ आणि एक बहिण तसेच काका आणि त्यांचा परिवार आहे.
"
"Both his father and grandfather were organists and composers.
","त्यांचे आई आणि वडील दोघेही गायक आणि अभिनेते होते.
"
"As did my mother and maternal grandfather.
","अगदी माझी आई आणि आज्जी पण.
"
"A father of three girls and grandfather of seven children.
","तो सात मुले आणि तीन मुली आनंदी पिता होता.
"
"And that was my grandfather.
","आणि ते म्हणजे माझे बाबा होते.
"
"‘Is that your grandfather?’ he asked, pointing at the photograph.
","' वडिलांच्या फोटोकडे बोट दाखवीत तिने विचारले.
"
"Pawar was accompanied by his parents, grandfather and two younger siblings, along with members of his extended family.
","आई-वडील व लहान भावाबरोबर दोन काका आणि त्यांचे कुटुंबीय एकत्र राहात होते.
"
"My father learnt it from my grandfather.
","हा आपल्या वडिलांजवळच ही कळा शिकला.
"
"There is a grandfather in the village.
","जगन आबांची वट आहे गावात.
"
"Both his father and grandfather were naval officers.
","त्यांचे वडील आणि काका दोन्ही सैनिक होते.
"
"Both his father and grandfather were U.S. Navy admirals.
","त्यांचे वडील सुद्धा अमेरिकन नौदल अधिकारी होते.
"
"A son, a brother, a husband, a father, a grandfather.
","वडिल, नातवंडे, बहीण, भाऊ, बहिणीची अपत्ये, भावाची अपत्ये, मुलीची नातवंडे, भावाचा मुलगा, बहिणीचा मुलगा.
"
"A story by a grandfather…
","कहाणी दमलेल्या बापाची. . .
"
"At the age of fifteen he started helping his grandfather with family building projects.
","वयाच्या पंचविसाव्या वर्षापासूनच त्यांनी वडिलांना त्यांच्या व्यवसायात मदत करण्यास सुरुवात केली होती.
"
"My grandfather was the sarpanch of the village.
","त्यांचे वडील गावचे सरपंच होते.
"
"He has been responsible for his father’s death and his grandfather’s.
","आपल्या वडील आणि भावाच्या मृत्यूला तो आईलाच जबाबदार ठरवायचा.
"
"But he’s my grandfather.
","पण तो मुर्ख माझा बाप आहे.
"
"His mother, Benazir Bhutto and maternal grandfather Zulfikar Ali Bhutto, were both Prime Ministers of Pakistan.
","त्यांच्या आई बेनजीर भुट्टो या पाकिस्तानच्या पंतप्रधान होत्या, तर वडील असिफ अली झरदारी हे पाकिस्तानचे राष्ट्रपती होते.
"
"Her grandfather was a school teacher and her father a doctor.
","त्याचे वडील शिक्षक असून चुलते डॉक्टर आहेत.
"
"Shah Nawaz Khan, a son of Kahuta, Pakistan, was Shahrukh Khan’s maternal grandfather.
","नूर जहां ही शाहरुख खानच्या वडिलांच्या चुलत भावाची मुलगी होती.
"
"Her grandfather was a school teacher and her father a doctor.
","तिचे वडील डॉक्टर असतात तर तीही सर्जन व्हायचं शिक्षण घेत असते.
"
"That’s my grandfather.
","ते माझ्या पित्यासमान आहे.
"
"A couple of years ago my grandfather passed away.
","दोन वर्षापुर्वी माझ्या वडिलांचे निधन झाले.
"
"According to a complaint by the girl's grandfather, the boy, who lives in the neighbourhood, allegedly raped the girl when she was alone in the house.
","मुलीच्या वडिलांनी दिलेल्या तक्रारीनुसार घरात राहाणाऱ्या चुलत भावानेच मुलीवर सतत अत्याचार केला होता.
"
"A grandfather, he is married and has three children.
","नौशाद विवाहीत असून तीन मुलांचा बाप होता.
"
"Her grandfather was a school teacher and her father a doctor.
","त्यांचे वडिलांचे वडील डॉक्टर तर आईचे वडील मिशनरी आणि प्राच्यविद्येचे अभ्यासक होते.
"
"His grandfather was like a dad to him.
","त्याची चण एकदम त्याच्या बापासारखी होती.
"
"He is named after his grandfather Raj Kapoor, whose real name was Ranbir Raj Kapoor.
","त्याचं नाव रणबीर राज कपूर.
"
"My grandfather was a lawyer.
","काका वकील होते.
"
"His father, his uncle, his grandfather, and his grandmother were all lawyers.
","त्यांचे अाजोबा, वडील, भाऊ, बहीण, मुलगा हे सर्व वकील अाहेत.
"
"My grandfather was the sarpanch of the village.
","त्यांचे वडील गावाचे सरपंच होते.
"
"His father and grandfather practised it too.
","त्याचा बाप व आजा सुद्धा शिप्याचा धंदाच करीत असत.
"
"He had played the role of a grandfather to Pooja Hegde in the movie.
","त्यांनी या चित्रपटात पूजाच्या आई-वडिलांची भूमिका साकारली होती.
"
"A few months ago my grandfather on my mother’s side passed.
","काही महिन्यांपूर्वी माझ्या आजीचं निधन झालं.
"
"My grandfather supported us.
","वडिलांचा आम्हाला आधार होता.
"
"And who was this grandfather?
","तसेच हा दादा कोण आहे?
"
"Both men are grandfathers.
","हे दोघेही नवराबायको आहेत.
"
"After my grandfather died my mother was all alone with me.
","वडिलांच्या मृत्यूनंतर आई माझ्याजवळच राहिली होती.
"
"Ali Fazal's grandfather passes away, actor shares emotional post in his memory
","अभिनेता अली फजल याला मातृशोक, शेअर केली भावनिक पोस्ट
"
"Basically in the family mother, father, grandfather, grandmother, uncle, aunty, brother, sister, daughter and son are the members of the family.
","त्याच्या पश्वात आई, वडील, भाऊ, काका, काकी, चुलत भाऊ, बहीण असा परिवार आहे.
"
"’ But my grandfather wasn’t concerned about that.
",""" पण काकांनी त्याच्याकडे लक्ष दिलं नाही.
"
"His grandfather brings him here.
","तिच्या काकांनी तिला येथे आणले आहे.
"
"It was given to him by his grandfather.
","हा प्रसाद त्याला त्याच्या आईसाहेबांनी दिलेला.
"
"I stood next to my maternal grandfather.
","मी पप्पांच्या अगदी समोर येऊन उभा राहिलो.
"
"Actually, grandfather never said that.
","खरंतर बाबा असे कधीच नव्हते.
"
"Her grandfather Harivansh Rai Bachchan was a celebrated Hindi poet.
","त्यांचे वडील हरिवंशराय बच्चन हे हिंदीतील प्रसिध्द कवी.
"
"And that is my mother, father, grandmother, grandfather, uncles, Aunts and adult cousins.
","त्यात मी, आई, पप्पा, भाऊ, बहीण आणि माझी आजी इतके जण राहतो.
"
"Her grandmother was Hindu, her grandfather British and father Armenian Christian.
","तिची आई भारतीय, वडील आणि नवरा श्वेतवर्णी, ख्रिश्चन अमेरिकन आहेत.
"
"Ali Fazal's grandfather passes away, actor shares emotional post in his memory
","अली फजलच्या आईचे निधन, अभिनेत्याने लिहिली भावुक पोस्ट
"
"Both his father and grandfather had served in the military.
","त्यांचे वडील व भाऊ दोघेही सैन्यात होते.
"
"Earlier, in an interview with the Times of India, Kareena's father, Randhir Kapoor, expressed his excitement about becoming a grandfather again.
","करिनाचे वडील अभिनेते रणधीर कपूर यांनी टाईम्स आॅफ इंडियाला दिलेल्या मुलाखतीमध्ये करिनाच्या प्रकृतीची माहिती दिली.
"
"Both of my grandfathers and my father were wood workers.
","दोघांचेही आई वडील गिरणी कामगार होते.
"
"His father's name was Dhanadutta and grandfather's name was Bhadradutta.
","दशरथ हे याच्या पित्याचे नाव आणि भैया हे याचे उपनाम होय.
"
"Amrish Puri’s grandson Vardhan to enter Bollywood, says debut film will be an ode to his late grandfather
","अमरिश पुरींचा नातू वर्धन पुरी करणार बॉलिवूडमध्ये एन्ट्री
"
"His paternal grandfather was a professor at a School Of Music.
","संगीताचे वडील शाळेत चित्रकला शिक्षक होते.
"
"Jayant Chaudhary's father Ajit Singh was a Union minister and a multiple-time parliamentarian, while grandfather Chaudhary Charan Singh served as the fifth Prime Minister of India.
","चौधरी चरणसिंग हे अजितसिंग यांचे वडील व देशाचे सातवे पंतप्रधान होते.
"
"Behind him was someone's grandfather.
","त्याच्या पाठीमागे म्हाताऱ्याची आज्जी होतीच.
"
"“My grandfather had passed away.
","“माझा प्रणित दादा गेला.
"
"A throwback picture shared by Karisma Kapoor featured her grandfather late Raj Kapoor, sister Kareena and cousin Ranbir Kapoor.
","फोटोत राज कपूर यांच्यासह करिष्मा कपूर, करीना कपूर, आणि रिधिमा कपूर यांचा बालपणीचा फोटो आहे.
"
"Rahul’s father and grandfather were Muslims.
","राहुल कूल यांचे वडील आणि आई आमदार होते.
"
"His great grandfather was Gujarati.
","त्याचे वडील गुजराती होते.
"
"And my grandfather started crying.
","आणि काका ढसाढसा रडायला लागले.
"
"But he is my grandfather.
","पण तो मुर्ख माझा बाप आहे.
"
"His grandfather’s name was Chandradeva and his father’s name was Guhideva.
","त्यांच्या वडिलांचे नाव गोविंदशास्त्री तथा दाजीशास्त्री व मातोश्रींचे नाव द्वारकाबाई.
"
"My grandfather was a cop and my dad was career Army.
",", माझे वडील स्वातंत्र्यसैनिक होते, तर माझा भाऊ सैन्यात होता.
"
"And my maternal grandfather?
","मग माझ्या आईपणाचं काय?
"
"Her grandfather was Chief Minister of Madras state (now Tamil Nadu).
","त्यांचे वडील मद्रास राज्याचे प्रधानमंत्री होते.
"
"Her mother and grandfather died from the disease.
","आई आणि धाकटा भाऊ या रोगाला बळी पडले.
"
"""Neither my father nor my grandfather were Muslim.
","'माझे वडिल मराठी माणूस नाही आणि मीही नाही.
"
"If the father, also, does not take the child, then this right is received by grandmothers, grandfathers and other relatives.
","जर बाप आपल्या मुलाला घेऊन गेले नाही तर दादा, दादा आणि इतर नातेवाईकांनी हा अधिकार प्राप्त केला आहे.
"
"Both his grandfathers were musicians.
","माझे सासू-सासरे दोघेही गायक होते.
"
"And what of my grandfather?
","मग माझ्या आईपणाचं काय?
"
"Is it his grandfather's property?
","ती काय त्यांच्या वडिलांची संपत्ती आहे काय ?
"
"After her grandfather died, her grandmother moved in with her parents.
","आईच्या निधनानंतर त्या आपल्या वडिलांसोबत बिठूरला आल्या.
"
"His grandfather’s name was Chandradeva and his father’s name was Guhideva.
","त्यांच्या वडिलांचे नाव गोविंदराव आणि आईचे नाव चिमणाबाई होते.
"
"He is currently living with his maternal grandfather.
","आता त्या वाडयात आजीच्या सोबतीने राहणारी.
"
"He was also a son, husband, father and a grandfather.
","तसेच पुरुषसुद्धा कुणाचा तरी मुलगा, भाऊ आणि वडील आहे.
"
"Both his father and grandfather were agriculturists.
","आई-बाबा दोघेही शेती करायचे.
"
"I have learnt a lot from my grandfather.
","सासूबाईंकडून मी बऱ्याच गोष्टी शिकले.
"
"But grandfather was right.
","पण भाऊ खरे बोलत होते.
"
"But my grandfather was adamant.
","पण काकांनी हट्टच धरला.
"
"On this statement of Raj Thackeray, NCP supremo Sharad Pawar reacted by saying that he should read the history, Pawar also gave him the advice to read the writings of his own grandfather Prabodhankar Thackeray.
","राज ठाकरेंच्या आरोपावर राष्ट्रवादीचे अध्यक्ष शरद पवारांनी प्रबोधनकारांचं लिखाण वाचण्याचा सल्ला ठाकरेंना दिला होता.
"
"Her grandfather Harivansh Rai Bachchan was a celebrated Hindi poet.
","त्यांचे वडील डॉ. हरिवंशराय बच्चन हे हिंदीतील सुप्रसिद्ध कवी होत.
"
"After his father’s death, his grandfather reared him.
","वडिलांच्या निधनानंतर आईने त्यांचे संगोपन केले.
"
"Aishwarya Rai Bachchan shared a cute throwback picture of daughter Aaradhya with grandfather Amitabh Bachchan and dad Abhishek Bachchan.
","पती अभिषेक बच्चन, मुलगी आराध्या, सासरे अमिताभ बच्चन यांच्यासोबतचे फोटो ती शेअर करते.
"
"Both of my grandfathers were farmers.
","माझे दोन्ही काका शेतकरी आहेत.
"
"According to police, the girl committed suicide due to sexual abuse by her grandfather.
","पोलिसांनी केलेल्या प्राथमीक तपासात मुलगी समलैंगिक असल्याने वडिलांनी आत्महत्या केल्याचे समोर आले आहे.
"
"And my grandfather was there!
","आणि माझी गोची होते ती नेमकी तिथेच!
"
"He was also a son, husband, father and a grandfather.
","तसेच पुरुष सुद्धा कुणाचा तरी मुलगा, भाऊ आणि वडील आहे.
"
"His grandfather’s name was Chandradeva and his father’s name was Guhideva.
","दामोदरराव यांच्या जनक वडिलांचे नांव गोविंदराव असून आडनांव उडपी धारवाडकर असें होतें.
"
"Veer Savarkar’s grandson Ranjit Savarkar has hit out at Rahul Gandhi for his ‘I am not Rahul Savarkar’ remark and asked Maharashtra Chief Minister Uddhav Thackeray to ‘beat Rahul Gandhi publicly for insulting his grandfather’.
","रणजित सावरकर यांनी मुख्यमंत्री उद्धव ठाकरेंना आवाहन केले आहे की, त्यांनी स्वातंत्र्यवीर सावरकरांचा अपमान करणाऱ्या राहुल गांधींना अटक करण्याचे आदेश द्यावेत.
"
"His maternal grandfather, Shri Sukhdev Mishra and maternal uncle Chaubey trained him in Kathak.
","श्री सुखदेव महाराज मिश्रा या त्यांच्या वडिलांनी त्यांना कथ्थकची उत्तम तालीम आणि प्रशिक्षण दिले.
"
"Agra: In a horrific incident, a man killed his grandfather over property dispute in a village in Agra district of Uttar Pradesh.
","आगरा: उत्तर प्रदेशच्या आगरा येथे एक व्यक्तीला गावकऱ्यांनी बेदम चोप देऊन त्याची नग्नावस्थेत धिंड काढल्याची घटना घडली आहे.
"
"Her grandfather Harivansh Rai Bachchan was a celebrated Hindi poet.
","त्यांचे वडील हरीवंशराय बच्चन हे एक प्रसिद्ध कवी होते.
"
"But he was a wonderful grandfather.
","पण तो चांगला बाप होता.
"
"But by this time, Yadav’s grandfather had died.
","पण तोपर्यंत जाधव यांचा मृत्यू झाला होता.
"
"His father's name was Dhanadutta and grandfather's name was Bhadradutta.
","त्यांच्या वडिलांचे नाव जगबंधू वड्डेदार व आईंचे नाव प्रतिभा वड्डेदार होते.
"
"His father, his grandfather, and his great-grandfather were all duck-men.
","त्याचे वडील, भाऊ, आजी सर्वच शोकाकुल होते.
"
"His grandfather’s name was Rasheed Ahmad.
","त्यांच्या वडिलांचे नाव ह्यूज इ. रॉडहॅम असे होते.
"
"And he was my grandfather.
","आणि ते म्हणजे माझे बाबा होते.
"
"Both grandfathers and my dad were lefties.
","माझे वडिल आणि माझी अम्मी दोघेही हजवर गेले होते.
"
"Both of my husband’s grandfathers were farmers.
","माझे दोन्ही काका शेतकरी आहेत.
"
"Her father, grandfather, uncle and maternal uncle.
","दादा मोठा, भाऊ छोटा, मम्मी त्यांची आई आणि आण्णा त्यांचे वडील.
"
"grandfather. father. elder brother. younger brother. son. nephew. daughter. niece grandson. granddaughter. grandmother. aunt. cousin.
","वडिल, नातवंडे, बहीण, भाऊ, बहिणीची अपत्ये, भावाची अपत्ये, मुलीची नातवंडे, भावाचा मुलगा, बहिणीचा मुलगा.
"
"Chandrakant’s grandfather Prabhashankar Oghadbhai Sompura designed the Somnath temple.
","चंद्रकांत यांचे वडील प्रभाशंकर सोमपुरा यांनी प्रभास पाटण येथील सोमनाथ मंदिर बनविले आहे.
"
"Your grandfather?
","दादा की ताई?
"
"Both my grandmother and grandfather were teachers.
","माझे आई आणि वडील दोघही शिक्षक होते.
"
"Her mother and grandfather died from the disease.
","या आजारामुळे तिच्या आई वडिलांचे निधन झाले.
"
"But I’m inspired by my grandfather.
","परंतु माझ्या वडिलांनी प्रेरणा दिली.
"
"His grandfather’s name was Chandradeva and his father’s name was Guhideva.
","त्यांच्या वडिलांचे नाव गोविंदराव व आईचे नाव चिमणाबाई होते.
"
"My grandfather had retired.
","अप्पा निवृत्तीला आले होते.
"
"Both of my grandfathers were dead.
","माझे आईवडील दोघेही वारले आहेत.
"
"Police have detained the grandmother, grandfather and father of the child for questioning in connection with the matter.
","तसेच पोलिसांनी मुलीचे वडील आणि काका यांना ताब्यात घेतलं असून या प्रकरणाची अधिक चौकशी केली जात आहे.
"
"At the time of his birth his grandfather, mother and father, three aunts, an uncle and four siblings all lived in the house.
","लहाणपणी माझे वडील, त्यांचे सख्खे चार भाऊ, तिन बहिणी, त्यांचे दोन चुलत भाऊ त्या वाड्यात राहत असत.
"
"A story is told about a grandfather, a father and son.
","ही एक पिता, मुलगा आणि भावाची कथा आहे.
"
"After his parents passed away at the age of five, he was brought up by his grandfather.
","त्यांच्या वयाच्या पाचव्या वर्षीच त्यांची आई निवर्तली त्यानंतर त्यांचे संगोपन वडिलांनीच केले.
"
"Six-month-old baby slips from grandfather’s hand, dies
","आईच्या हातून पडून सहा महिन्यांच्या बाळाचा मृत्यू झाला
"
"“Who was your grandfather?
","""शर्ट देणारा तुझा बाप होता का?
"
"Six-month-old baby slips from grandfather’s hand, dies
","आईच्या हातातून सहा महिन्यांचं बाळ सटकलं, चिमुकल्याचा मृत्यू
"
"His grandfather’s name was Chandradeva and his father’s name was Guhideva.
","त्यांच्या आईचे नाव चिमणाबाई आणि वडीलांचे नाव गोविंदराव असे होते।
"
"My grandfather was a cop and my dad was career Army.
","माझे वडील स्वातंत्र्य सैनिक होते तर माझा भाऊ सैन्यात होता.
"
"The police then arrested her grandfather.
","त्यानंतर पोलिसांनी तात्काळ तिच्या भावाला अटक केली.
"
"Her grandfather Harivansh Rai Bachchan was a celebrated Hindi poet.
","त्यांचे वडील हरिवंश राय बच्चन हे प्रसिद्ध कवी होते.
"
"His grandfather’s name was Chandradeva and his father’s name was Guhideva.
","जोतिबांच्या वडिलांचे नाव गोविंदराव आणि आईचे नाव चिमणाबाई होते.
"
"The faces of my father, grandfather and uncles began flashing before my eyes.
","माझ्या डोळ्यापुढून आई-बाबा, इन्नी यांचे चेहरे तरळून गेले.
"
"His father was Raj Kapoor, his grandfather theatre pioneer Prithiviraj Kapoor.
","त्याकाळी राज कपूर यांचे वडील पृथ्वीराज कपूर (Pruthviraj Kapoor) हे नाटक कंपनी चालवायचे.
"
"The family is heartbroken by the loss of their husband, father and grandfather.
","आपल्या कुटुंबातील मुलगा, पती, वडील गेल्याचे दुःख कुटुंबियांना आहेच.
"
"Her grandfather, says she, was a Muslim and grandmother a Hindu.
","त्यांचे म्हणणे आहे की त्यांचे वडील दलित आणि आई मुस्लिम होती.
"
"On this statement of Raj Thackeray, NCP supremo Sharad Pawar reacted by saying that he should read the history, Pawar also gave him the advice to read the writings of his own grandfather Prabodhankar Thackeray.
","राज ठाकरेंच्या विधानाला प्रत्युत्तर देताना राष्ट्रवादी काँग्रेसचे अध्यक्ष शरद पवार यांनी राज ठाकरेंनी त्यांचे प्रबोधनकारांचे लिखाण नीट वाचावं.
"
"Both my father and grandfather were Congress MLAs.
","माझे वडील काँग्रेसचे विधानपरिषदेतील आमदार होते.
"
"But her mother and grandfather were stubborn.
","पण तिचे मामा व काका सतत वट वट करत होते.
"
"But his grandfather does not want him.
","पण त्याचा वडिलांना हे अजिबात आवडायचं नाही.
"
"His grandfather Keshav Sitaram Thackeray, better known as ""Prabodhankar (reformer)"", was known for his reformist views and harsh criticism of religious orthodoxy.
","बाळासाहेब ठाकरे यांचे वडील केशव सीताराम ठाकरे यांना त्यांच्या सुधारणावादी विचारांमुळे आणि धार्मिक रूढिवादावर कडवट टीका केल्यामुळे प्रबोधनकार (सुधारक) म्हणून देखील त्यांना ओळखले जाते.
"
"Both his father and his grandfather were actors.
","त्याचे आई आणि वडील दोघेही गायक आणि अभिनेते होते.
"
"Both of her parents were grandfather physicians.
","तिचे आई-वडील दोघेही डॉक्टर होते.
"
"As a young child my grandfather was always taking photographs.
","मी लहान असताना माझे बाबा माझे अनेक फोटो काढायचे.
"
"His father Raj Kapoor and grandfather Prithviraj Kapoor were doyens of Bollywood.
","पृथ्वीराज कपूर यांचे वडील आणि ऋषी कपूर यांचे पणजोबा बाशेश्वरनाथ तहसीलदार होते.
"
"And so is my grandfather.
","तसंच माझी नंदा आत्या.
"
"There were five in her family, her mother, father, grandfather, baby sister, and herself.
","त्याच्या घरात आई, वडील, लहान भाऊ, बहीण, चुलते व त्यांचे कुटुंब असे एकून दहाजणरहात होते.
"
"Both my grandfathers were musicians too.
","माझे सासू-सासरे दोघेही गायक होते.
"
"But grandfather’s was not one of them.
","पण दादा त्यातला नव्हता.
"
"What are your fondest memories with your grandfather?
","तुझी उपेंद्रसोबतची एक खास आठवण कोणती?
"
"Both his father and grandfather worked there.
","त्याचे आई-बाबा दोघेही जॉब करायचे.
"
"Aditi’s great grandfather was Akbar Hydari, the Prime Minister of Hyderabad state before independence and she is also the grandniece of Muhammad Saleh Akbar Hydari, the former Governor of Assam.
","अकबर हैदरी, हैदराबाद राज्याचे माजी प्रधानमंत्री आणि आसामचे माजी गव्हर्नर मोहम्मद सालेह अकबर हैदरी यांची भाचीची नात आहे.
"
"Vithalrao Vikhe Patil, Radhakrishna’s grandfather, formed India’s first cooperative sugar factory.
","महाराष्ट्रातला पहिला सहकारी साखर कारखाना उभारणारे विठ्ठलराव विखे पाटील यांचे हे पणतू.
"
"And he’s not my grandfather.
","हे माझे दादा नाहीत.
"
"My great grandfather is from Hyderabad.
","माझे पूर्वजही हैदराबादचेच आहेत.
"
"Bilawal’s grandfather, Zulfikar Ali Bhutto was the ninth prime minister and the fourth president of Pakistan.
","झुल्फिकार अली हे पाकिस्तानचे नववे पंतप्रधान आणि चौथे राष्ट्रपती होते.
"
"grandfather. father. elder brother. younger brother. son. nephew. daughter. niece grandson. granddaughter. grandmother. aunt. cousin.
","आई-वडील, बहीण, भाऊ, काका, मामा, आत्या यांच्याबरोबर घालवलेले लहानपणीचे
"
"My grandfather is an Indian and my father was English.
","आयेशाचे वडील हे भारतीय तर आई इंग्लिश होती.
"
"Her mother, father uncles and grandfather were police.
","महिलेचे वडील, काका व जावई पोलिस कर्मचारी आहेत.
"
"But my grandfather was adamant.
","परंतु वडील पडले जिद्दी.
"
"Both his mother and grandmother were teachers; his grandfather was a principal.
","त्यांचे वडील मुख्याध्यापक होते, तर आई शाळेत शिक्षक होत्या.
"
"My grandfather was travelling. . .
","माझे म्हातारे बाबा वणवण भटकत होते. . . !
"
"In addition, his great grandfather was a subordinate judge.
","याशिवाय त्यांचे पणजोबा हे न्यायाधीश होते.
"
"Amitabh Bachchan in an Instagram post wrote that Shah Rukh Khan's son, Abram, is convinced that he is his grandfather.
","अमिताभ यांनी लिहिले की शाहरुख खानचा धाकटा मुलगा अबराम त्यांना शाहरुखचा वडिल समजतो.
"
"And my grandfather lived here.
","आणि माझे आईवडिलही इथेच रहातात.
"
"My grandfather was a terror.
","दादा माझा क्रश होता.
"
"I never knew either of my grandfathers.
","माझ्या वडलांबद्दल मला कधीच फारशी माहिती नव्हती.
"
"Beloved father and grandfather.
","प्रिय दादा व तात्या,
"
"But he was an excellent grandfather.
","पण तो चांगला बाप होता.
"
"We all know our grandfather’s name.
","आपल्या प्रत्येकाला आजीबाईंचा बटवा माहित आहे.
"
"Akash Ambani and Shloka Mehta recently became parents to a baby boy, and pictures of grandfather Mukesh Ambani holding the day-old baby have been floating on social media ever since.
","मुकेश अंबानी यांचा मुलगा आकाश अंबानी आणि श्लोका मेहता यांचे नुकतेच झालेले लग्न मीडियात चांगलेच गाजले.
"
"His grandfather was noted lyricist Jahar Mukherjee, his father was music director Manas Mukherjee, and his sister is singer Sagarika. .
","त्यांचे वडील स्वर्गीय मानस मुखर्जी संगीत दिग्दर्शक होते आणि त्यांची बहीण सागरिका देखील गायिका आहे.
"
"Rawla police have arrested the girl's grandfather Surmukh Singh, father Nanak Singh and her uncle Shrawan Singh in the case.
","पोलिसांनी सावत्र वडील राजू लक्ष्मण सोळसे, सतीश कनगरे आणि पीडित मुलीची आई अशी तिघांविरोधात गुन्हा दाखल केला आहे.
"
"But I trusted my grandfather.
","पण दादावर माझा विश्वास आहे.
"
"And then there was his grandfather.
","मग त्यांचे पिताश्रीही आले.
"
"A male person can be a father, son, grandfather or grandson.
","तो पुरुष वडील, भाऊ, मुलगा किंवा पती असू शकतो.
"
"And he was an awesome grandfather.
","आणि एक खुपचं मायाळू वडील सुद्धा होते.
"
